adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000950123-09-032096	4447	HESS CORP	2911	US	NY	NEW YORK	10036	1185 AVENUE OF THE AMERICAS		2129978500	US	NY	NEW YORK	10036	1185 AVENUE OF THE AMERICAS		US	DE	134921002	AMERADA HESS CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 16:10:00.0	0	0	hes-20090630.xml	1	
0000950123-09-032159	1043604	JUNIPER NETWORKS INC	3576	US	CA	SUNNYVALE	94089	1194 NORTH MATHILDA AVE		6505268000	US	CA	SUNNYVALE	94089	1194 NORTH MATHILDA AVE		US	DE	770422528			1-LAF	0	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 16:40:00.0	0	0	jnpr-20090630.xml	1	
0000950123-09-032191	72971	WELLS FARGO & CO/MN	6021	US	CA	SAN FRANCISCO	94163	420 MONTGOMERY STREET		6126671234	US	CA	SAN FRANCISCO	94163	WELLS FARGO & COMPANY	420 MONTGOMERY STREET	US	DE	410449260	NORWEST CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 16:56:00.0	0	0	wfc-20090630.xml	1	
0000950123-09-032199	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:02:00.0	0	0	afl-20090630.xml	1	
0000950123-09-032231	65100	MERRILL LYNCH & CO., INC.	6211	US	NY	NEW YORK	10080	4 WORLD FINANCIAL CTR		2124491000	US	NY	NEW YORK	10080	4 WORLD FINANCIAL CTR		US	DE	132740599	MERRILL LYNCH & CO INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:13:00.0	0	0	mer-20090630.xml	1	
0000950123-09-032262	6769	APACHE CORP	1311	US	TX	HOUSTON	77056-4400	2000 POST OAK BLVD	STE 100	7132966000	US	TX	HOUSTON	77056-4400	2000 POST OAK BLVD	STE 100	US	DE	410747868	APACHE OIL CORP	19660830	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:26:00.0	0	0	apa-20090630.xml	1	
0000950123-09-032270	721083	SMITH INTERNATIONAL INC	3533	US	TX	HOUSTON	77032	16740 HARDY ST	P O BOX 60068	2814433370	US	TX	HOUSTON	77205	16740 HARDY ST	P O BOX 60068	US	DE	953822631			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:31:00.0	0	0	sii-20090630.xml	1	
0000950123-09-032328	1021860	NATIONAL OILWELL VARCO INC	3533	US	TX	HOUSTON	77042-4200	10000 RICHMOND AVENUE	6TH FLOOR	7133467500	US	TX	HOUSTON	77042-4200	10000 RICHMOND AVENUE	6TH FLOOR	US	DE	760475815	NATIONAL OILWELL INC	19960829	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-07 19:49:00.0	0	0	nov-20090630.xml	1	
0000950123-09-032414	1066107	EL PASO CORP/DE	4922	US	TX	HOUSTON	77002	1001 LOUISIANA ST, SUITE 2955A	EL PASO BLDG	7134202600	US	TX	HOUSTON	77002	1001 LOUISIANA ST	SUITE 2955A	US	DE	760568816	EL PASO ENERGY CORP/DE	19980716	1-LAF	0	1231	10-Q	20090630	2009	Q2	20090810	2009-08-07 21:49:00.0	0	0	ep-20090630.xml	1	
0000950123-09-032467	1001082	DISH NETWORK CORP	4841	US	CO	ENGLEWOOD	80112	9601 S. MERIDIAN BLVD.		3037231000	US	CO	ENGLEWOOD	80112	9601 S. MERIDIAN BLVD.		US	NV	880336997	ECHOSTAR COMMUNICATIONS CORP	19950919	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 06:03:00.0	0	0	dish-20090630.xml	1	
0000950123-09-032642	91576	KEYCORP /NEW/	6021	US	OH	CLEVELAND	44114-1306	127 PUBLIC SQ		2166896300	US	OH	CLEVELAND	44114-1306	127 PUBLIC SQ		US	OH	346542451	SOCIETY CORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 11:51:00.0	0	0	key-20090630.xml	1	
0000950123-09-032660	10795	BECTON DICKINSON & CO	3841	US	NJ	FRANKLIN LAKES	07417-1880	ONE BECTON DR		2018476800	US	NJ	FRANKLIN LAKE	07417	ONE BECTON DR		US	NJ	220760120			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090810	2009-08-10 12:23:00.0	0	0	bdx-20090630.xml	1	
0000950123-09-032665	20171	CHUBB CORP	6331	US	NJ	WARREN	07061	15 MOUNTAIN VIEW ROAD		9089032000	US	NJ	WARREN	07061	15 MOUNTAIN VIEW ROAD		US	NJ	132595722			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 12:30:00.0	0	0	cb-20090630.xml	1	
0000950123-09-032668	945764	DENBURY RESOURCES INC	1311	US	TX	PLANO	75024	5100 TENNYSON PARKWAY	SUITE 3000	9726732000	US	TX	PLANO	75024	5100 TENNYSON PARKWAY	SUITE 3000	US	DE	752815171	NEWSCOPE RESOURCES LTD	19950627	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 12:34:00.0	0	0	dnr-20090630.xml	1	
0000950123-09-032702	915912	AVALONBAY COMMUNITIES INC	6798	US	VA	ALEXANDRIA	22314	2900 EISENHOWER AVENUE	SUITE 300	7033296300	US	VA	ALEXANDRIA	22314	2900 EISENHOWER AVENUE	STE 300	US	MD	770404318	AVALON BAY COMMUNITIES INC	19980618	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 13:20:00.0	0	0	avb-20090630.xml	1	
0000950123-09-032827	1050915	QUANTA SERVICES INC	1731	US	TX	HOUSTON	77056	1360 POST OAK BLVD	SUITE 2100	7133506000	US	TX	HOUSTON	77056	1360 POST OAK BLVD SUITE 2100		US	DE	742851603			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 15:41:00.0	0	0	pwr-20090630.xml	1	
0000950123-09-032832	19617	J P MORGAN CHASE & CO	6021	US	NY	NEW YORK	10017	270 PARK AVE	38TH FL	2122706000	US	NY	NEW YORK	10017	270 PARK AVENUE		US	DE	132624428	CHASE MANHATTAN CORP /DE/	19960402	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 15:46:00.0	0	0	jpm-20090630.xml	1	
0000950123-09-033037	36104	US BANCORP \DE\	6021	US	MN	MINNEAPOLIS	55402	U.S.BANCORP	800 NICOLLET MALL	(651)466-300	US	MN	MINNEAPOLIS	55402	U.S.BANCORP	800 NICOLLET MALL	US	DE	410255900	FIRST BANK SYSTEM INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090810	2009-08-10 17:09:00.0	0	0	usb-20090630.xml	1	
0000950123-09-033506	103379	V F CORP	2320	US	NC	GREENSBORO	27408	105 CORPORATE CENTER BOULEVARD		(336)424-600	US	NC	GREENSBORO	27420	P. O. BOX 21488		US	PA	231180120	VF CORPORATION	19900621	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090811	2009-08-11 15:59:00.0	0	0	vfc-20090704.xml	1	
0000950123-09-034092	203077	ST JUDE MEDICAL INC	3845	US	MN	ST PAUL	55117	ONE ST JUDE MEDICAL DRIVE		6517562000	US	MN	ST PAUL	55117	ONE ST JUDE MEDICAL DRIVE		US	MN	411276891			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090812	2009-08-12 17:02:00.0	0	0	stj-20090704.xml	1	
0000950123-09-035693	1136869	ZIMMER HOLDINGS INC	3842	US	IN	WARSAW	46580	345 EAST MAIN STREET		5742676131	US	IN	WARSAW	46580	345 EAST MAIN STREET		US	DE	134151777			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090817	2009-08-17 10:49:00.0	0	0	zmh-20090630.xml	1	
0000950123-09-036183	6281	ANALOG DEVICES INC	3674	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		7813294700	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		US	MA	042348234			1-LAF	1	1031	10-Q	20090731	2009	Q3	20090818	2009-08-18 16:26:00.0	0	0	adi-20090801.xml	1	
0000950123-09-036965	46640	HEINZ H J CO	2030	US	PA	PITTSBURGH	15222-5448	1 PPG PLACE	SUITE 3100	4124565700	US	PA	PITTSBURGH	15230	P O BOX 57	P O BOX 57	US	PA	250542520			1-LAF	1	0430	10-Q	20090731	2010	Q1	20090820	2009-08-20 17:09:00.0	0	0	hnz-20090729.xml	1	
0000950123-09-037848	1013871	NRG ENERGY, INC.	4911	US	NJ	PRINCETON	08540	211 CARNEGIE CENTER	-	609-524-4500	US	NJ	PRINCETON	08540	211 CARNEGIE CENTER	-	US	DE	411724239	NRG ENERGY INC	19960509	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090825	2009-08-25 15:46:00.0	0	0	nrg-20090630.xml	1	
0000950123-09-037888	62996	MASCO CORP /DE/	2430	US	MI	TAYLOR	48180	21001 VAN BORN RD		3132747400	US	MI	TAYLOR	48180	21001 VAN BORN ROAD		US	DE	381794485	MASCO SCREW PRODUCTS CO	19731025	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090825	2009-08-25 16:28:00.0	0	0	mas-20090630.xml	1	
0000950123-09-038201	68505	MOTOROLA INC	3663	US	IL	SCHAUMBURG	60196	1303 E ALGONQUIN RD		8475765000	US	IL	SCHAUMBURG	60196	1303 EAST ALGONQUIN ROAD		US	DE	361115800	MOTOROLA DELAWARE INC	19760414	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090826	2009-08-26 16:00:00.0	0	0	mot-20090704.xml	1	
0000950123-09-038240	874766	HARTFORD FINANCIAL SERVICES GROUP INC/DE	6331	US	CT	HARTFORD	06155	ONE HARTFORD PLAZA		8605475000	US	CT	HARTFORD	06155	ONE HARTFORD PLAZA		US	DE	133317783	ITT HARTFORD GROUP INC /DE	19930328	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090826	2009-08-26 16:48:00.0	0	0	hig-20090630.xml	1	
0000950123-09-038339	107263	WILLIAMS COMPANIES INC	4922	US	OK	TULSA	74172	ONE WILLIAMS CTR		9185732000	US	OK	TULSA	74172	ONE WILLIAM CENTER		US	DE	730569878	WILLIAMS BROTHERS COMPANIES	19710817	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090827	2009-08-26 18:40:00.0	0	0	wmb-20090630.xml	1	
0000950123-09-038497	1018963	ALLEGHENY TECHNOLOGIES INC	3317	US	PA	PITTSBURGH	15222	1000 SIX PPG PLACE		4123942800	US	PA	PITTSBURGH	15222	100 SIX PPG PLACE		US	DE	251792394	ALLEGHENY TELEDYNE INC	19960716	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090827	2009-08-27 11:02:00.0	0	0	ati-20090630.xml	1	
0000950123-09-039236	936340	DTE ENERGY CO	4911	US	MI	DETROIT	48226	ONE ENERGY PLAZA		3132354000	US	MI	DETROIT	48226	ONE ENERGY PLAZA		US	MI	383217752	DTE HOLDINGS INC	19950127	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090828	2009-08-28 12:45:00.0	0	0	dte-20090630.xml	1	
0000950123-09-039364	109198	TJX COMPANIES INC /DE/	5651	US	MA	FRAMINGHAM	01701	770 COCHITUATE RD		508-390-2662	US	MA	FRAMINGHAM	01701	770 COCHITUATE ROAD		US	DE	042207613	ZAYRE CORP	19890625	1-LAF	1	0131	10-Q	20090731	2009	Q2	20090828	2009-08-28 15:56:00.0	0	0	tjx-20090801.xml	1	
0000950123-09-040145	6951	APPLIED MATERIALS INC /DE	3674	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		4087275555	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		US	DC	941655526	APPLIED MATERIALS TECHNOLOGY INC	19730319	1-LAF	1	1031	10-Q	20090731	2009	Q3	20090901	2009-09-01 16:07:00.0	0	0	amat-20090726.xml	1	
0000950123-09-040151	1453090	WEATHERFORD INTERNATIONAL LTD./SWITZERLAND	1381	US	TX	HOUSTON	77027	515 POST OAK BLVD.		(713) 693-40	US	TX	HOUSTON	77027	515 POST OAK BLVD.		CH		000000000			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090901	2009-09-01 16:18:00.0	0	0	wft-20090630.xml	1	
0000950123-09-040402	55067	KELLOGG CO	2040	US	MI	BATTLE CREEK	49016-3599	ONE KELLOGG SQ	P O BOX 3599	2699612000	US	MI	BATTLE CREEK	49016-3599	ONE KELLOGG SQUARE	P O BOX 3599	US	DE	380710690			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090902	2009-09-02 14:31:00.0	0	0	k-20090704.xml	1	
0000950123-09-040810	36270	M&T BANK CORP	6022	US	NY	BUFFALO	14203	C/O CORPORATE REPORTING	ONE M&T PLAZA 5TH FLOOR	7168425390	US	NY	BUFFALO	14203	C/O CORPORAE REPORTING	ONE M&T PLAZA 5TH FLR	US	NY	160968385	FIRST EMPIRE STATE CORP	19920703	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090903	2009-09-03 15:41:00.0	0	0	mtb-20090630.xml	1	
0000950123-09-040859	354950	HOME DEPOT INC	5211	US	GA	ATLANTA	30339-4024	2455 PACES FERRY ROAD		770-433-82	US	GA	ATLANTA	30339-4024	2455 PACES FERRY ROAD		US	DE	953261426			1-LAF	1	0131	10-Q	20090731	2009	Q2	20090903	2009-09-03 16:25:00.0	0	0	hd-20090802.xml	1	
0000950123-09-041361	12659	H&R BLOCK INC	7200	US	MO	KANSAS CITY	64105	ONE H&R BLOCK WAY		8168543000	US	MO	KANSAS CITY	64105	ONE H&R BLOCK WAY		US	MO	440607856			1-LAF	1	0430	10-Q	20090731	2010	Q1	20090904	2009-09-04 17:21:00.0	0	0	hrb-20090731.xml	1	
0000950123-09-041558	1222333	SPDR GOLD TRUST	1040	US	NY	NEW YORK	10022	C/O WORLD GOLD TRUST SERVICES LLC	424 MADISON AVE 3RD FL	2123173800	US	NY	NEW YORK	10022	424 MADISON AVE 3RD FL				522369757	STREETTRACKS GOLD TRUST	20041008	1-LAF	1	0930	10-Q/A	20090630	2009	Q3	20090908	2009-09-08 13:09:00.0	0	0	gld-20090630.xml	1	
0000950123-09-041984	72333	NORDSTROM INC	5651	US	WA	SEATTLE	98101-4407	1700 SEVENTH AVENUE	SUITE 1300	2066282111	US	WA	SEATTLE	98111	PO BOX 1770		US	WA	910515058	NORDSTROM BEST INC	19730611	1-LAF	1	0131	10-Q	20090731	2009	Q2	20090909	2009-09-09 13:23:00.0	0	0	jwn-20090801.xml	1	
0000950123-09-042090	1326380	GAMESTOP CORP.	5734	US	TX	GRAPEVINE	76051	625 WESTPORT PARKWAY		817-424-2000	US	TX	GRAPEVINE	76051	625 WESTPORT PARKWAY		US	DE	000000000	GSC HOLDINGS CORP.	20050506	1-LAF	1	0131	10-Q	20090731	2009	Q2	20090909	2009-09-09 16:29:00.0	0	0	gme-20090801.xml	1	
0000950123-09-042709	826083	DELL INC	3571	US	TX	ROUND ROCK	78682-2244	ONE DELL WAY	STED	5127284737	US	TX	ROUND ROCK	78682	ONE DELL WAY		US	DE	742487834	DELL COMPUTER CORP	19920703	1-LAF	1	0131	10-Q/A	20090731	2009	Q2	20090911	2009-09-11 15:43:00.0	0	0	dell-20090731.xml	1	
0000950123-09-044076	1048911	FEDEX CORP	4513	US	TN	MEMPHIS	38120-	942 SOUTH SHADY GROVE ROAD		9018187500	US	TN	MEMPHIS	38120-	942 SOUTH SHADY GROVE ROAD		US	DE	621721435	FDX CORP	19971103	1-LAF	1	0531	10-Q	20090831	2010	Q1	20090918	2009-09-18 12:11:00.0	0	0	fdx-20090831.xml	1	
0000950123-09-045262	723531	PAYCHEX INC	8700	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL S		7163856666	US	NY	ROCHESTER	14625-0397	911 PANORAMA TRAIL SOUTH		US	DE	161124166			1-LAF	1	0531	10-Q	20090831	2010	Q1	20090923	2009-09-23 17:12:00.0	0	0	payx-20090831.xml	1	
0000950123-09-045366	40704	GENERAL MILLS INC	2040	US	MN	MINNEAPOLIS	55426	NUMBER ONE GENERAL MILLS BLVD		(763) 764-76	US	MN	MINNEAPOLIS	55440	P O BOX 1113		US	DE	410274440			1-LAF	1	0531	10-Q	20090831	2010	Q1	20090924	2009-09-23 21:29:00.0	0	0	gis-20090830.xml	1	
0001004980-09-000057	1004980	PG&E CORP	4931	US	CA	SAN FRANCISCO	94105	ONE MARKET SPEAR TOWER	SUITE 2400	4152677000	US	CA	SAN FRANCISCO	94105	ONE MARKET SPEAR TOWER	SUITE 2400	US	CA	943234914	PG&E PARENT CO INC	19951214	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090805	2009-08-05 14:21:00.0	0	0	pge-20090630.xml	1	
0001031296-09-000021	1031296	FIRSTENERGY CORP	4911	US	OH	AKRON	44308-1890	76 SOUTH MAIN ST		330-761-7837	US	OH	AKRON	44308-1890	76 SOUTH MAIN ST		US	OH	341843785			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 16:34:00.0	0	0	fe-20090630.xml	8	20947 65350 73960 77227 352049 1407703 53456
0001039684-09-000053	1039684	ONEOK INC /NEW/	4923	US	OK	TULSA	74103	100 WEST 5TH ST		9185887000	US	OK	TULSA	74103	100 WEST 5TH ST		US	OK	731520922	WAI INC	19970519	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 13:55:00.0	0	0	oke-20090630.xml	1	
0001045810-09-000024	1045810	NVIDIA CORP	3674	US	CA	SANTA CLARA	95050	2701 SAN TOMAS EXPRESSWAY		408-486-2000	US	CA	SANTA CLARA	95050	2701 SAN TOMAS EXPRESSWAY		US	DE	943177549	NVIDIA CORP/DE	20020612	1-LAF	1	0131	10-Q	20090731	2009	Q2	20090820	2009-08-20 16:59:00.0	0	0	nvda-20090727.xml	1	
0001047469-09-006994	1037949	QWEST COMMUNICATIONS INTERNATIONAL INC	4813	US	CO	DENVER	80202	1801 CALIFORNIA ST		3039921400	US	CO	DENVER	80202	1801 CALIFORNIA ST		US	DE	841339282	QUEST COMMUNICATIONS INTERNATIONAL INC	19970416	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-29 18:14:00.0	1	0	qcii-20090630.xml	1	
0001047469-09-007013	21344	COCA COLA CO	2080	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		404-676-2121	US	GA	ATLANTA	30313	ONE COCA COLA PLAZA		US	DE	580628465			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090730	2009-07-30 10:33:00.0	0	0	ko-20090703.xml	1	
0001047469-09-007036	833444	TYCO INTERNATIONAL LTD /BER/	7380	BM		PEMROKE HM 08 BERMU		90 PITTS BAY ROAD	THE ZURICH CENTRE SECOND FLOOR	4412928674	US	NH	EXETER	03833	C/O TYCO INTERNATIONAL (US) INC	ONE TYCO PARK	BM		000000000	ADT LIMITED	19930601	1-LAF	1	0930	10-Q	20090630	2009	Q3	20090730	2009-07-30 17:16:00.0	0	0	tyc-20090626.xml	1	
0001047469-09-007070	1385157	TYCO ELECTRONICS LTD.	5065	BM		PEMBROKE	HM08	96 PITTS BAY ROAD, 2ND FL		(441) 298-97	BM		PEMBROKE	HM08	96 PITTS BAY ROAD, 2ND FL		BM		980518048			1-LAF	1	0930	10-Q	20090630	2009	Q3	20090731	2009-07-31 15:24:00.0	0	0	tel-20090626.xml	1	
0001047469-09-007075	1037949	QWEST COMMUNICATIONS INTERNATIONAL INC	4813	US	CO	DENVER	80202	1801 CALIFORNIA ST		3039921400	US	CO	DENVER	80202	1801 CALIFORNIA ST		US	DE	841339282	QUEST COMMUNICATIONS INTERNATIONAL INC	19970416	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090731	2009-07-31 16:56:00.0	0	0	qcii-20090630.xml	1	
0001047469-09-007107	1324404	CF INDUSTRIES HOLDINGS, INC.	2870	US	IL	DEERFIELD	60015	4 PARKWAY NORTH	SUITE 400	(847) 405-24	US	IL	DEERFIELD	60015	4 PARKWAY NORTH	SUITE 400	US	DE	202697511			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090803	2009-08-03 14:58:00.0	1	0	cf-20090630.xml	1	
0001047469-09-007134	24545	MOLSON COORS BREWING CO	2082	US	CO	GOLDEN	80401	P.O. BOX 4030, MAIL #NH375		3032773271	US	CO	GOLDEN	80401	311 10TH STREET		US	CO	840178360	COORS ADOLPH CO	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090804	2009-08-03 17:38:00.0	0	0	tap-20090628.xml	1	
0001047469-09-007300	813828	CBS CORP	4833	US	NY	NEW YORK	10019	51 WEST 52ND STREET	35TH FLOOR	2129754321	US	NY	NEW YORK	10019	51 WEST 52ND STREET	35TH FLOOR	US	DE	042949533	VIACOM INC	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:21:00.0	0	0	cbs-20090630.xml	1	
0001047469-09-007315	1234308	DIRECTV HOLDINGS LLC	4841	US	CA	EL SEGUNDO					US	CA	EL SEGUNDO	90245	2230 E IMPERIAL HIGHWAY		US	DE	593772785			4-NON	0	1231	10-Q	20090630	2009	Q2	20090807	2009-08-06 17:48:00.0	0	0	dtvh-20090630.xml	2	1234307
0001047469-09-007317	944868	DIRECTV GROUP INC	4899	US	CA	EL SEGUNDO	90245-0956	2230 EAST IMPERIAL HIGHWAY		310-964-0808	US	CA	EL SEGUNDO	90245-0956	2230 EAST IMPERIAL HIGHWAY		US	DE	521106564	HUGHES ELECTRONICS CORP	19980511	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-06 17:52:00.0	0	0	dtv-20090630.xml	1	
0001047469-09-007340	827052	EDISON INTERNATIONAL	4911	US	CA	ROSEMEAD	91770	2244 WALNUT GROVE AVE, STE 369	P O BOX 800	6263022222	US	CA	ROSEMEAD	91770	2244 WALNUT GROVE AVE, STE 369	P O BOX 800	US	CA	954137452	SCECORP	19920703	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:03:00.0	0	0	eix-20090630.xml	1	
0001047469-09-007341	92103	SOUTHERN CALIFORNIA EDISON CO	4911	US	CA	ROSEMEAD	91770	2244 WALNUT GROVE AVE	P O BOX 800	6263021212	US	CA	ROSEMEAD	91770	2244 WALNUT GROVE AVE		US	CA	951240335			4-NON	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:07:00.0	0	0	sce-20090630.xml	1	
0001047469-09-007342	930835	EDISON MISSION ENERGY	4911	US	CA	IRVINE	92612	18101 VON KARMAN AVE	STE 1700	9497525588	US	CA	IRVINE	92612	18101 VON KARMAN AVE	STE 1700	US	DE	954031807	MISSION ENERGY CO	19941003	4-NON	0	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:10:00.0	0	0	eme-20090630.xml	1	
0001047469-09-007343	1134016	MIDWEST GENERATION LLC	4991	US	IL	CHICAGO	60605	ONE FINANCIAL PLACE	440 SOUTH LASALLE STREET #3500	3125836000	US	IL	CHICAGO	60605	ONE FINANCIAL PLACE	440 SOUTH LASALLE STREET #3500	US	DE	330868558			4-NON	0	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:14:00.0	0	0	mwg-20090630.xml	1	
0001047469-09-007345	1099534	EME HOMER CITY GENERATION LP	4991	US	PA	HOMER CITY	15748	1750 POWER PLANT ROAD		724 479 9011	US	PA	HOMER CITY	15748	1750 POWER PLANT ROAD		US	PA	330826938			4-NON	0	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 09:19:00.0	0	0	hcg-20090630.xml	1	
0001047469-09-007370	1355096	LIBERTY MEDIA CORP	4841	US	CO	ENGLEWOOD	80112	12300 LIBERTY BOULEVARD		7208755400	US	CO	ENGLEWOOD	80112	12300 LIBERTY BOULEVARD				841288730	LIBERTY MEDIA HOLDING CORP	20060303	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 12:41:00.0	0	0	lcapa-20090630.xml	1	
0001047469-09-007382	837173	WALTER ENERGY, INC.	1220	US	FL	TAMPA	33607	4211 W. BOY SCOUT BLVD.		8138714811	US	FL	TAMPA	33607	4211 W. BOY SCOUT BLVD.	4211 W. BOY SCOUT BLVD.	US	DE	133429953	WALTER INDUSTRIES INC /NEW/	19950207	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 15:00:00.0	0	0	wlt-20090630.xml	1	
0001047469-09-007384	1004440	CONSTELLATION ENERGY GROUP INC	4911	US	MD	BALTIMORE	21202	100 CONSTELLATION WAY		4104702800	US	MD	BALTIMORE	21202	100 CONSTELLATION WAY		US	MD	521964611	CONSTELLATION ENERGY CORP	19951220	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 15:37:00.0	0	0	ceg-20090630.xml	2	9466
0001047469-09-007400	831001	CITIGROUP INC	6021	US	NY	NEW YORK	10043	399 PARK AVENUE		2125591000	US	NY	NEW YORK	10043	399 PARK AVENUE		US	DE	521568099	TRAVELERS GROUP INC	19950519	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 16:49:00.0	0	0	c-20090630.xml	1	
0001047469-09-007411	38079	FOREST OIL CORP	1311	US	CO	DENVER	80202	707 SEVENTEENTH STREET	SUITE 3600	3038121400	US	CO	DENVER	80202	707 SEVENTEENTH STREET	SUITE 3600	US	NY	250484900	FOREST OIL CORP	20040819	1-LAF	1	1231	10-Q	20090630	2009	Q2	20090807	2009-08-07 17:16:00.0	0	0	fst-20090630.xml	1	
0001047469-09-008149	732485	GENZYME CORP	2836	US	MA	CAMBRIDGE	02139	ONE KENDALL SQ		6172527500	US	MA	CAMBRIDGE	02139	ONE KENDALL SQUARE		US	MA	061047163			1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090904	2009-09-04 13:22:00.0	0	0	genz-20090630.xml	1	
0001047469-09-008166	47217	HEWLETT PACKARD CO	3570	US	CA	PALO ALTO	94304	3000 HANOVER ST	MS 1050	6508571501	US	CA	PALO ALTO	94304	3000 HANOVER ST	MS 1050	US	DE	941081436			1-LAF	1	1031	10-Q/A	20090731	2009	Q3	20090908	2009-09-04 21:13:00.0	0	0	hpq-20090731.xml	1	
0001061219-09-000078	1061219	ENTERPRISE PRODUCTS PARTNERS L P	4922	US	TX	HOUSTON	77002	1100 LOUISIANA 10TH FLOOR		7133816500	US	TX	HOUSTON	77002	1100 LOUISIANA 10TH FLOOR		US	DE	760568219			1-LAF	1	1231	10-Q	20090630	2009	Q2	20090806	2009-08-06 16:41:00.0	0	0	epd-20090630.xml	1	
0001094093-09-000184	1094093	PROGRESS ENERGY INC	4911	US	NC	RALEIGH	27601	410 S WILMINGTON ST		9195466463	US	NC	RALEIGH	27601	410 S WILMINGTON ST		US	NC	562155481	CP&L ENERGY INC	20000314	1-LAF	1	1231	10-Q/A	20090630	2009	Q2	20090902	2009-09-02 10:22:00.0	0	0	pgn-20090630.xml	1	
0001104659-09-044741	883984	ICU MEDICAL INC/DE	3841	US	CA	SAN CLEMENTE	92763	951 CALLE AMANECER		949-366-2183	US	CA	SAN CLEMENTE	92763	951 CALLE AMANECER		US	DE	330022692			2-ACC	0	1231	10-Q	20090630	2009	Q2	20090724	2009-07-24 14:24:00.0	0	0	icui-20090630.xml	1	
